SongID,start_time,end_time,label,TrackName,Artists,Genre,FilePath,sp_danceability,sp_energy,sp_key,sp_loudness,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_genre
1,0.0,61.0,other,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
1,61.0,121.9,chorus,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
1,121.9,167.7,other,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
1,167.7,228.6,chorus,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
1,228.6,259.9950113378685,other,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
2,0.0,92.2,other,Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif",Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
2,92.2,138.3,chorus,Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif",Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
2,138.3,184.3,other,Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif",Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
2,184.3,230.4,chorus,Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif",Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
2,230.4,276.42503401360545,other,Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif",Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
3,0.0,47.6,other,Take Me Away,ACRAZE,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11.0,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4.0,"pop dance, tech house"
