sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,overall_tempo,tempo_time_1,tempo_time_2,tempo_time_3,chroma_time_1,chroma_time_2,chroma_time_3,combined_segments,tempo_seg_0,chroma_seg_0,tempo_seg_1,chroma_seg_1,tempo_seg_2,chroma_seg_2,tempo_seg_3,chroma_seg_3
0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,4,5q3LwAHTqo9d3rET2EA9Nq,"['1AhjOkOLkbHUfcHDSErXQs', '6UbmqUEgjLA6jAcXwbM1Z9']","['k-pop', 'korean r&b', 'asian american hip hop']",The Weekend,"88rising, BIBI","88rising, BIBI - The Weekend.mp3",164.771,B major,0.6001934199987988,1B,102.27272727272728,3.6586666666666665,78.22933333333333,127.456,104.576,116.064,163.12533333333334,"['0', '3.659t', '78.229t', '104.576c', '116.064c', '127.456t', '163.125c', '164.771']","(0, 3.6586666666666665)","(0, 104.576)","(3.6586666666666665, 78.22933333333333)","(104.576, 116.064)","(78.22933333333333, 127.456)","(116.064, 163.12533333333334)","(127.456, 164.771)","(163.12533333333334, 164.771)"
0.905,0.838,6,-6.838,1,0.0499,0.00112,0.839,0.608,0.464,126.007,4,0oUTyBEY3NQzmu2VuoKpSH,['6EqFMCnVGBRNmwPlk2f3Uc'],"['fidget house', 'brostep', 'electro house', 'bass house']",Bass Inside,AC Slater,AC Slater - Bass Inside.mp3,259.995,G minor,0.5326954559443323,6A,125.0,60.757333333333335,120.88533333333334,165.92,31.082666666666668,60.821333333333335,227.21066666666667,"['0', '31.083c', '60.757tc', '120.885t', '165.92t', '227.211c', '259.995']","(0, 60.757333333333335)","(0, 31.082666666666668)","(60.757333333333335, 120.88533333333334)","(31.082666666666668, 60.821333333333335)","(120.88533333333334, 165.92)","(60.821333333333335, 227.21066666666667)","(165.92, 259.995)","(227.21066666666667, 259.995)"
0.897,0.692,11,-4.985,0,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,26xlCgHpcF4GE0FFVsS6Oy,"['6EqFMCnVGBRNmwPlk2f3Uc', '7tm9Tuc70geXOOyKhtZHIj', '7zm3aSdmGiOkTt0aZFSO8R']","['fidget house', 'house', 'tech house', 'bass house', 'brostep', 'electro house']",Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif","AC Slater, Chris Lorenzo - Fly Kicks - Wax Motif Remix.mp3",276.425,F# minor,0.4897046953697688,11A,125.0,43.86133333333333,138.016,154.10133333333334,44.053333333333335,139.92533333333333,183.072,"['0', '43.861tc', '138.016tc', '154.101t', '183.072c', '276.425']","(0, 43.86133333333333)","(0, 44.053333333333335)","(43.86133333333333, 138.016)","(44.053333333333335, 139.92533333333333)","(138.016, 154.10133333333334)","(139.92533333333333, 183.072)","(154.10133333333334, 276.425)","(183.072, 276.425)"
0.724,0.792,1,-3.332,0,0.102,0.0114,7.81e-06,0.625,0.559,109.997,4,2PAr2vrUwJs6QqRxDv0mP8,"['1NfT4THLhxNASM4xVImfNg', '4pnrk5QCXeKifcD98STB24']","['kawaii future bass', 'kawaii edm', 'future bass']",Space Girl,"AIKA, TOFIE","AIKA, TOFIE - Space Girl.mp3",216.506,B minor,0.8690587932965242,10A,110.29411764705884,19.029333333333334,53.06666666666667,141.93066666666667,19.57333333333333,123.30666666666669,141.71733333333333,"['0', '19.029tc', '53.067t', '123.307c', '141.931t', '216.506']","(0, 19.029333333333334)","(0, 19.57333333333333)","(19.029333333333334, 53.06666666666667)","(19.57333333333333, 123.30666666666669)","(53.06666666666667, 141.93066666666667)","(123.30666666666669, 141.71733333333333)","(141.93066666666667, 216.506)","(141.71733333333333, 216.506)"
0.71,0.729,2,-4.978,1,0.0539,0.0743,3.89e-06,0.0419,0.532,124.995,4,38TlYe1miTAL6r1FyJj7PS,"['4AVFqumd2ogHFlRbKIjp1t', '0awl5piYwO0CDTHEkCjUhn', '39PhMWg1aAuuZcph0OXGu6']","['progressive electro house', 'pop', 'dutch house', 'progressive house', 'edm', 'german techno', 'afrobeats', 'pop dance', 'sky room', 'electro house', 'dance pop']",I Wanna Know - Alesso & Deniz Koyu Remix,"Alesso, Nico & Vinz, Deniz Koyu","Alesso, Nico & Vinz - I Wanna Know - Alesso & Deniz Koyu Remix.mp3",323.466,A# major,0.576438366380144,6B,125.0,29.066666666666663,236.256,292.36266666666666,29.610666666666667,230.2933333333333,260.23466666666667,"['0', '29.067tc', '230.293c', '236.256t', '260.235c', '292.363t', '323.466']","(0, 29.066666666666663)","(0, 29.610666666666667)","(29.066666666666663, 236.256)","(29.610666666666667, 230.2933333333333)","(236.256, 292.36266666666666)","(230.2933333333333, 260.23466666666667)","(292.36266666666666, 323.466)","(260.23466666666667, 323.466)"
0.596,0.481,3,-9.375,1,0.0351,0.761,0.00135,0.194,0.529,97.04,4,5Jqp5YuySyuTOTfFBLkY6K,['6hfwwpXqZPRC9CsKI7qtv1'],['etherpop'],Between Us,Alina Baraz,Alina Baraz - Between Us.mp3,188.027,G minor,0.6139497937549637,6A,96.98275862068964,122.432,140.74666666666667,181.46133333333333,62.31466666666667,82.12266666666666,180.9813333333333,"['0', '62.315c', '82.123c', '122.432t', '140.747t', '181.461t', '188.027']","(0, 122.432)","(0, 62.31466666666667)","(122.432, 140.74666666666667)","(62.31466666666667, 82.12266666666666)","(140.74666666666667, 181.46133333333333)","(82.12266666666666, 180.9813333333333)","(181.46133333333333, 188.027)","(180.9813333333333, 188.027)"
0.647,0.594,10,-6.708,0,0.0516,0.00457,6.07e-06,0.0539,0.77,73.992,4,5jYkyOIoEeWZobedmHM50N,"['0wnYgCeP013HkKoOyC5V32', '2uYWxilOVlUdk4oV9DvwqK']","['canadian pop', 'brooklyn indie', 'metropopolis', 'alt z', 'canadian electropop', 'electropop', 'dark pop', 'pov: indie']",Susie Save Your Love,"Allie X, Mitski","Allie X, Mitski - Susie Save Your Love.mp3",233.511,A minor,0.5703228235841801,8A,148.02631578947367,32.96,123.91466666666666,218.58133333333333,5.674666666666667,113.99466666666666,118.56,"['0', '5.675c', '32.96t', '118.56c', '123.915t', '218.581t', '233.511']","(0, 32.96)","(0, 5.674666666666667)","(32.96, 123.91466666666666)","(5.674666666666667, 113.99466666666666)","(123.91466666666666, 218.58133333333333)","(113.99466666666666, 118.56)","(218.58133333333333, 233.511)","(118.56, 233.511)"
0.192,0.885,0,-3.07,0,0.0522,0.00094,2.59e-06,0.23,0.285,91.605,4,0bclooQbNXjWCj8EdcwUM9,"['2UwJRAgSOi1zcLkvUNc8XL', '224Zsim3dmWXWYUXFuHv0o']","['chiptune', 'bitpop', 'nintendocore', 'indie game soundtrack', 'dark pop']",On My Own,"Anamanaguchi, HANA","Anamanaguchi, HANA - On My Own.mp3",237.776,E major,0.7201761715305149,12B,127.8409090909091,30.250666666666667,102.368,135.89333333333337,91.01866666666666,101.03466666666668,212.33066666666667,"['0', '30.251t', '91.019c', '102.368t', '135.893t', '212.331c', '237.776']","(0, 30.250666666666667)","(0, 91.01866666666666)","(30.250666666666667, 102.368)","(91.01866666666666, 101.03466666666668)","(102.368, 135.89333333333337)","(101.03466666666668, 212.33066666666667)","(135.89333333333337, 237.776)","(212.33066666666667, 237.776)"
0.799,0.573,3,-9.314,0,0.0429,0.377,0.000126,0.317,0.63,125.047,4,5jpp5lgBYjC38ut9XWVK8R,['2V6GNbrXanLBlMLCx5nXZN'],[],Belong,Andrea Chahayed,Andrea Chahayed - Belong.mp3,186.48,A minor,0.5949733387412631,8A,125.0,33.44,61.909333333333336,75.62666666666667,10.538666666666666,15.178666666666668,33.973333333333336,"['0', '15.179c', '33.44tc', '61.909t', '75.627t', '186.48']","(0, 33.44)","(0, 10.538666666666666)","(33.44, 61.909333333333336)","(10.538666666666666, 15.178666666666668)","(61.909333333333336, 75.62666666666667)","(15.178666666666668, 33.973333333333336)","(75.62666666666667, 186.48)","(33.973333333333336, 186.48)"
0.729,0.772,7,-6.927,1,0.0733,0.0213,0.619,0.142,0.636,124.015,4,6G1FihxPSWDiRtAtWjfWHk,"['3zaxUd86U92CdZkNa6NUo9', '1bJJlRHoc1UVeqzxcrPLIw', '6kuFWCCvd7bWB1PV0tJMN2']","['la pop', 'vapor twitch']",Let Go - Phantoms Remix,"Ark Patrol, Phantoms, Veronika Redd","Ark Patrol, Veronika Redd - Let Go - Phantoms Remix.mp3",170.662,F major,0.4617809814871726,7B,125.0,46.976,61.80266666666667,122.72,15.402666666666669,46.88,61.86666666666667,"['0', '15.403c', '46.976t', '61.803tc', '122.72t', '170.662']","(0, 46.976)","(0, 15.402666666666669)","(46.976, 61.80266666666667)","(15.402666666666669, 46.88)","(61.80266666666667, 122.72)","(46.88, 61.86666666666667)","(122.72, 170.662)","(61.86666666666667, 170.662)"
