SongID,TrackName,Artists,Genre,FilePath
1,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3
2,Fly Kicks - Wax Motif Remix,AC Slater/Chris Lorenzo/Wax Motif,Bass House,..\data\audio_files\processed\2.mp3
3,Take Me Away,ACRAZE,Pop Dance,..\data\audio_files\processed\3.mp3
4,Heard It Like This,ACRAZE/Joey Valence & Brae,Pop Dance,..\data\audio_files\processed\4.mp3
5,Spring Girl - Vintage Culture Remix,Adam Ten/Maori/Vintage Culture,Israeli Techno,..\data\audio_files\processed\5.mp3
6,Back Again,Alaia & Gallo,Funky House,..\data\audio_files\processed\6.mp3
7,I Wanna Know - Alesso & Deniz Koyu Remix,Alesso/Nico & Vinz/Deniz Koyu,Dance Pop,..\data\audio_files\processed\7.mp3
8,Nova Vida - Osmo Remix,Allen French/Osmo,,..\data\audio_files\processed\8.mp3
9,Drum Machine,Alok/Pickle,Electro House,..\data\audio_files\processed\9.mp3
10,Body Pump - Lady Bee Remix,Aluna/Lady Bee,Dance Pop,..\data\audio_files\processed\10.mp3
11,Killing Me,Aluna/TSHA,Dance Pop,..\data\audio_files\processed\11.mp3
12,Done To Me,Amés,,..\data\audio_files\processed\12.mp3
13,Frikitona,Andruss,Mexican Tech House,..\data\audio_files\processed\13.mp3
14,Relax My Eyes,ANOTR/Abel Balder,Dutch Tech House,..\data\audio_files\processed\14.mp3
15,I Want Your Soul - Mau P Remix,Armand Van Helden/Mau P,Big Beat,..\data\audio_files\processed\15.mp3
16,U Got Me,ATFC,Deep House,..\data\audio_files\processed\16.mp3
17,Hipcats,ATFC/David Penn,Deep House,..\data\audio_files\processed\17.mp3
18,Escape (with Nomra),Audien/Nomra,Edm,..\data\audio_files\processed\18.mp3
19,See You On The Other Side [Upmost Remix],Audien/Upmost,Edm,..\data\audio_files\processed\19.mp3
20,See You On The Other Side,Audien,Edm,..\data\audio_files\processed\20.mp3
21,Something Better,Audien/Lady A,Edm,..\data\audio_files\processed\21.mp3
22,Bling (feat. Lady Leshurr),Autoerotique/Lady Leshurr,Brostep,..\data\audio_files\processed\22.mp3
23,Vertigo,Autograf/Malou/Burko,Deep Tropical House,..\data\audio_files\processed\23.mp3
24,RIZZ,AYYBO,,..\data\audio_files\processed\24.mp3
25,PLAY SOME RECORDS,AYYBO/Dances,,..\data\audio_files\processed\25.mp3
26,HYPNOSIS,AYYBO/ero808,,..\data\audio_files\processed\26.mp3
27,DRENCH,AYYBO/Preme,,..\data\audio_files\processed\27.mp3
