SongID,TrackName,Artists,Genre,FilePath,sp_danceability,sp_energy,sp_key,sp_loudness,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_genre
1,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6.0,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4.0,"electro house, brostep, bass house, fidget house"
2,Fly Kicks - Wax Motif Remix,AC Slater/Chris Lorenzo/Wax Motif,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11.0,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4.0,"bass house, house, tech house, electro house, brostep, fidget house"
3,Take Me Away,ACRAZE,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11.0,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4.0,"pop dance, tech house"
4,Heard It Like This,ACRAZE/Joey Valence & Brae,Pop Dance,..\data\audio_files\processed\4.mp3,0.747,0.901,1.0,-5.906,0.0491,0.0801,0.00959,0.107,0.73,125.943,4.0,"pop dance, tech house"
5,Spring Girl - Vintage Culture Remix,Adam Ten/Maori/Vintage Culture,Israeli Techno,..\data\audio_files\processed\5.mp3,0.798,0.865,7.0,-5.296,0.0568,0.000763,0.831,0.0722,0.643,127.002,4.0,"israeli techno, brazilian edm"
6,Back Again,Alaia & Gallo,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0.0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4.0,"italian tech house, funky house"
7,I Wanna Know - Alesso & Deniz Koyu Remix,Alesso/Nico & Vinz/Deniz Koyu,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2.0,-4.978,0.0539,0.0743,3.89e-06,0.0419,0.532,124.995,4.0,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop"
8,Nova Vida - Osmo Remix,Allen French/Osmo,,..\data\audio_files\processed\8.mp3,0.725,0.828,7.0,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115.0,4.0,
9,Drum Machine,Alok/Pickle,Electro House,..\data\audio_files\processed\9.mp3,0.798,0.968,0.0,-5.417,0.0581,0.00354,0.829,0.15,0.261,127.997,4.0,"pop nacional, slap house, electro house, dutch edm"
10,Body Pump - Lady Bee Remix,Aluna/Lady Bee,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10.0,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4.0,"uk dance, bass trap, dance pop, moombahton"
11,Killing Me,Aluna/TSHA,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6.0,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4.0,"uk house, uk dance, dance pop"
12,Done To Me,Amés,,..\data\audio_files\processed\12.mp3,0.656,0.863,11.0,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4.0,
13,Frikitona,Andruss,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6.0,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4.0,"mexican tech house, tech house"
