danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename
0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,4,5q3LwAHTqo9d3rET2EA9Nq,"['1AhjOkOLkbHUfcHDSErXQs', '6UbmqUEgjLA6jAcXwbM1Z9']","['k-pop', 'korean r&b', 'asian american hip hop']",The Weekend,"88rising, BIBI","88rising, BIBI - The Weekend.mp3"
0.905,0.838,6,-6.838,1,0.0499,0.00112,0.839,0.608,0.464,126.007,4,0oUTyBEY3NQzmu2VuoKpSH,['6EqFMCnVGBRNmwPlk2f3Uc'],"['fidget house', 'brostep', 'electro house', 'bass house']",Bass Inside,AC Slater,AC Slater - Bass Inside.mp3
0.897,0.692,11,-4.985,0,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,26xlCgHpcF4GE0FFVsS6Oy,"['6EqFMCnVGBRNmwPlk2f3Uc', '7tm9Tuc70geXOOyKhtZHIj', '7zm3aSdmGiOkTt0aZFSO8R']","['fidget house', 'house', 'tech house', 'bass house', 'brostep', 'electro house']",Fly Kicks - Wax Motif Remix,"AC Slater, Chris Lorenzo, Wax Motif","AC Slater, Chris Lorenzo - Fly Kicks - Wax Motif Remix.mp3"
0.724,0.792,1,-3.332,0,0.102,0.0114,7.81e-06,0.625,0.559,109.997,4,2PAr2vrUwJs6QqRxDv0mP8,"['1NfT4THLhxNASM4xVImfNg', '4pnrk5QCXeKifcD98STB24']","['kawaii future bass', 'kawaii edm', 'future bass']",Space Girl,"AIKA, TOFIE","AIKA, TOFIE - Space Girl.mp3"
0.71,0.729,2,-4.978,1,0.0539,0.0743,3.89e-06,0.0419,0.532,124.995,4,38TlYe1miTAL6r1FyJj7PS,"['4AVFqumd2ogHFlRbKIjp1t', '0awl5piYwO0CDTHEkCjUhn', '39PhMWg1aAuuZcph0OXGu6']","['progressive electro house', 'pop', 'dutch house', 'progressive house', 'edm', 'german techno', 'afrobeats', 'pop dance', 'sky room', 'electro house', 'dance pop']",I Wanna Know - Alesso & Deniz Koyu Remix,"Alesso, Nico & Vinz, Deniz Koyu","Alesso, Nico & Vinz - I Wanna Know - Alesso & Deniz Koyu Remix.mp3"
0.596,0.481,3,-9.375,1,0.0351,0.761,0.00135,0.194,0.529,97.04,4,5Jqp5YuySyuTOTfFBLkY6K,['6hfwwpXqZPRC9CsKI7qtv1'],['etherpop'],Between Us,Alina Baraz,Alina Baraz - Between Us.mp3
0.647,0.594,10,-6.708,0,0.0516,0.00457,6.07e-06,0.0539,0.77,73.992,4,5jYkyOIoEeWZobedmHM50N,"['0wnYgCeP013HkKoOyC5V32', '2uYWxilOVlUdk4oV9DvwqK']","['canadian pop', 'brooklyn indie', 'metropopolis', 'alt z', 'canadian electropop', 'electropop', 'dark pop', 'pov: indie']",Susie Save Your Love,"Allie X, Mitski","Allie X, Mitski - Susie Save Your Love.mp3"
0.192,0.885,0,-3.07,0,0.0522,0.00094,2.59e-06,0.23,0.285,91.605,4,0bclooQbNXjWCj8EdcwUM9,"['2UwJRAgSOi1zcLkvUNc8XL', '224Zsim3dmWXWYUXFuHv0o']","['chiptune', 'bitpop', 'nintendocore', 'indie game soundtrack', 'dark pop']",On My Own,"Anamanaguchi, HANA","Anamanaguchi, HANA - On My Own.mp3"
0.799,0.573,3,-9.314,0,0.0429,0.377,0.000126,0.317,0.63,125.047,4,5jpp5lgBYjC38ut9XWVK8R,['2V6GNbrXanLBlMLCx5nXZN'],[],Belong,Andrea Chahayed,Andrea Chahayed - Belong.mp3
0.729,0.772,7,-6.927,1,0.0733,0.0213,0.619,0.142,0.636,124.015,4,6G1FihxPSWDiRtAtWjfWHk,"['3zaxUd86U92CdZkNa6NUo9', '1bJJlRHoc1UVeqzxcrPLIw', '6kuFWCCvd7bWB1PV0tJMN2']","['la pop', 'vapor twitch']",Let Go - Phantoms Remix,"Ark Patrol, Phantoms, Veronika Redd","Ark Patrol, Veronika Redd - Let Go - Phantoms Remix.mp3"
